group,status,lca_node,member_count,extra_nodes,missing_nodes,subgroups,extra_count,missing_count,polytomy_details
DTBI01,monophyletic,internal_16,4,,,,0,0,
DTBU01,monophyletic,internal_17,6,,,,0,0,
DTCV01,monophyletic,internal_22,5,,,,0,0,
DTDX01,monophyletic,internal_20,3,,,,0,0,
DTEX01,monophyletic,internal_21,23,,,,0,0,
DTGE01,monophyletic,internal_22,2,,,,0,0,
DTGL01,monophyletic,internal_19,7,,,,0,0,
DTMT01,monophyletic,internal_23,2,,,,0,0,
DTNV01,monophyletic,internal_15,3,,,,0,0,
DTQF01,monophyletic,internal_13,7,,,,0,0,
DTQO01,monophyletic,internal_16,2,,,,0,0,
DTU008,monophyletic,internal_30,6,,,,0,0,
DXJG01,monophyletic,internal_15,4,,,,0,0,
DYFS01,monophyletic,internal_14,3,,,,0,0,
DYJQ01,monophyletic,internal_14,3,,,,0,0,
DYTO01,monophyletic,internal_17,3,,,,0,0,
Desulfurococcus,monophyletic,internal_29,4,,,,0,0,
EA-19,monophyletic,internal_27,6,,,,0,0,
EA-27,monophyletic,internal_25,4,,,,0,0,
ECH-B-1,monophyletic,internal_16,4,,,,0,0,
EX4484-135,monophyletic,internal_17,7,,,,0,0,
EX4484-2,monophyletic,internal_13,5,,,,0,0,
EX4484-217-1,monophyletic,internal_16,3,,,,0,0,
EX4484-218,monophyletic,internal_21,3,,,,0,0,
EX4484-224,monophyletic,internal_17,2,,,,0,0,
EX4484-36,monophyletic,internal_21,2,,,,0,0,
EX4484-52,monophyletic,internal_10,4,,,,0,0,
EX4484-71,monophyletic,internal_33,5,,,,0,0,
EX4572-165,monophyletic,internal_24,12,,,,0,0,
EX4572-44,monophyletic,internal_19,2,,,,0,0,
FEN-33,monophyletic,internal_30,4,,,,0,0,
FEN-987,monophyletic,internal_24,23,,,,0,0,
FT1-020,monophyletic,internal_26,6,,,,0,0,
Fen-7,monophyletic,internal_20,3,,,,0,0,
Fermentimicrarchaeum,monophyletic,internal_18,6,,,,0,0,
Ferroglobus,monophyletic,internal_20,3,,,,0,0,
Ferroplasma,monophyletic,internal_27,11,,,,0,0,
Forterrea,monophyletic,internal_15,7,,,,0,0,
G60ANME1,monophyletic,internal_21,7,,,,0,0,
GCA-000496135,monophyletic,internal_28,4,,,,0,0,
GCA-001856825,monophyletic,internal_25,19,,,,0,0,
GCA-020343575,monophyletic,internal_22,3,,,,0,0,
GCA-020343715,monophyletic,internal_20,3,,,,0,0,
GCA-020344715,monophyletic,internal_26,5,,,,0,0,
GCA-020345945,monophyletic,internal_20,3,,,,0,0,
GCA-020348365,monophyletic,internal_29,4,,,,0,0,
GCA-020348445,monophyletic,internal_20,5,,,,0,0,
GCA-020350385,monophyletic,internal_40,2,,,,0,0,
GCA-020356305,monophyletic,internal_29,3,,,,0,0,
GCA-2686295,monophyletic,internal_27,9,,,,0,0,
GCA-2687275,monophyletic,internal_28,2,,,,0,0,
